menu_name,find_name,data_h
갈비구이,"등갈비, 양념갈비, 돼지갈비",1
고등어구이,고등어구이,1
닭갈비,닭갈비,1
불고기,불고기,1
삼겹살,삼겹,1
미역국,미역국,1
육개장,육개장,1
양념치킨,양념치킨,1
후라이드치킨,후라이드치킨,1
배추김치,배추김치,1
만두,만두,1
라면,라면,1
자장면,"자장면, 짜장면",1
짬뽕,짬뽕,1
잡채,잡채,1
김밥,김밥,1
비빔밥,비빔밥,1
떡볶이,떡볶이,1
제육볶음,"제육볶음, 제육",1
보쌈,보쌈,1
계란말이,계란말이,1
파전,파전,1
갈치조림,갈치조림,1
김치찌개,김치찌개,1
갈비찜,갈비찜,1
닭볶음탕,"닭볶음탕, 닭도리탕",1
족발,"족발, 족",1
삼계탕,삼계탕,1
갈비탕,갈비탕,0
떡갈비,떡갈비,0
계란찜,계란찜,0
된장찌개,된장찌개,0
순두부찌개,순두부찌개,0
대구탕,대구탕,0
조기구이,조기구이,0
물냉면,"물냉, 물냉면",0
비빔냉면,"비냄, 비빔냉면",0
갈매기살,갈매기,0
육회,육회,0
육사시미,육사시미,0
칼국수,칼국수,0
알탕,알탕,0
동태탕,동태탕,0
대구지리,대구지리,0
새우볶음밥,새우볶음밥,0
김치볶음밥,김치볶음밥,0
오므라이스,오므라이스,0
제육덮밥,제육덮밥,0
카레덮밥,카레덮밥,0
우동,우동,0
쫄면,쫄면,0
오징어볶음,오징어볶음,0
제육볶음,제육볶음,0
돌솥비빔밥,돌솥비빔밥,0
낚지볶음,낚지볶음,0
부대찌개,부대찌개,0
수육,수육,0
설렁탕,설렁탕,0
동태찌개,동태찌개,0
도토리묵,도토리묵,0
소주,소주,0
맥주,맥주,0
막국수,막국수,0
