Large_cat,Small_cat,Large_cat_en,Small_cat_en1,Small_cat_en2,Ingredient,Ingredient_detail,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,,16,17,18,19,20,21,22,23
구이,갈비구이,Grilled dish,Galbigui,Grilled Galbi,"beef short ribs, garlic, green onion, ground black pepper, kosher salt, sugar, toasted sesame oil","2 to 3 tablespoons toasted sesame oil, 3 tablespoons sugar, 1½ teaspoons kosher salt, 1 teaspoon ground black pepper, 4 garlic cloves minced, 2 green onions chopped","Drizzle sesame oil on the meat, including the bones, and any vegetables you’re going to grill. Rub and slap in with your hand to coat evenly.",Sprinkle the marinade powder evenly all over the meat and the bones.,Add the garlic and green onion to the meat and pat down.,Grab a bone attached to the meat and roll the meat in gently.,Place the rolled beef short ribs on a platter or tray. Repeat it with the rest of the marinated beef short ribs.,Cover with a plastic wrap and refrigerate at least 1 hour up to 12 hours.,Heat up a grill over high heat and the ribs. Unroll them onto the grill so they lay flat.,Flip the ribs over a few times until both sides are golden brown. The meat is very thin so it shouldn’t take long. Be sure not to burn them.,,,,,,,,,,,,,,,https://www.maangchi.com/recipe/galbi
구이,고등어구이,Grilled dish,Godeungeogui,Grilled Mackerel,"mackerel, kosher salt, vegetable oil, flour","mackerel 1¼ pound or about 600 grams), kosher salt, vegetable oil, flour.",Sprinkle 1½ tbs kosher salt evenly on both sides of each piece of fish.,Keep it in the refrigerator for at least 30 minutes before cooking.,Coat both sides of fish with flour.,Heat up the pan and add 2 tbs vegetable oil.,"Cook the fish for 3 minutes over medium high heat, until golden brown.",Turn it over with a spatula and cook for 7 minutes over low heat.,Turn it over and cook for 1-2 more minutes before transferring it to a plate.,,,,,,,,,,,,,,,,
구이,닭갈비,Grilled dish,Dakgalbi,Spicy Stir-fried Chicken,"chicken, milk, soy sauce, ground black pepper, garlic, ginger, water, gochu-garu(Korean hot pepper flakes), rice syrup(corn syrup, sugar), sliced rice cake, cabbage, onion, green chili pepper, sweet potato, perilla leaves(basil leaves)","1 pound deboned chicken thigh (or drumsticks), cut into small bite sized pieces, 2 tablespoons milk, 1 tablespoon soy sauce, ¼ teaspoon ground black pepper, 12 garlic cloves, minced, 1 teaspoon peeled and minced ginger, 2 tablespoons soy sauce, ½ cup water, ⅓ cup gochu-garu (Korean hot pepper flakes), 2 tablespoons rice syrup (or corn syrup, or sugar), ½ teaspoon ground black pepper, 4 ounces sliced rice cake (1 cup), soaked in cold water at least 10 minutes, 8 ounces cabbage, cored and cut into bite sized pieces, 4 ounces (½ of large onion), sliced, 1 small carrot (about ⅓ cup), peeled and sliced, 1 or 2 green chili peppers, sliced, ¾ cup peeled sweet potato, sliced into ¼ inch thick bite size pieces, 12 perilla leaves (or basil leaves), cut or ton a few times ½ cup water","Combine the chicken, milk, soy sauce, and ground black pepper in a bowl and mix all together with a spoon.","Combine the minced garlic, ginger, soy sauce, water, gochu-garu (Korean hot pepper flakes), rice syrup, and ground black pepper in a bowl. Mix well with a spoon and set aside.","Spread the cabbage on the bottom of a large, heavy, and shallow pan or skillet.","Add onion, carrot, green chili pepper, sweet potato, rice cake, and perilla leaves in that order.",Add the chicken in the center. Pour the seasoning sauce over the chicken and spread it with a wooden spoon. Add 1/2 cup water.,"Cover and cook for 3 to 4 minutes over medium high heat until it starts boiling. Turn down the heat to medium. Open and stir with wooden spoon so that the pan doesn’t burn and the ingredients and sauce mix evenly. Cover and cook another 13 to 15 minutes over medium heat, stirring occasionally until the chicken and sweet potato are cooked thoroughly.","Keep the heat low during the meal. Cook, stir, eat, and talk. The pieces will be hot, so be careful! Turn off the heat when the chicken and potato are totally cooked.",,,,,,,,,,,,,,,,
구이,불고기,Grilled dish,Bulgogi,Korean bbq,"beef tenderloin, pear, onion, garlic, ginger, green onion, soy sauce, brown sugar(rice syrup), ground black pepper, toasted sesame oil, carrot","1 pound of beef tenderloin, sliced thinly into pieces ½ inch x 2 inches and ⅛ inch thick, ½ cup of crushed pear, ¼ cup onion purée, 4 cloves of minced garlic, 1 teaspoon minced ginger, 1 chopped green onion, 2 tbs soy sauce, 2 tbs brown sugar (or 1 tbs of brown sugar and 1½ tbs rice syrup), a pinch of ground black pepper, 1 tbs toasted toasted sesame oil, several thin slices of carrot",Mix all the marinade ingredients in a bowl.,Add the sliced beef and mix well.,"You can grill, pan-fry, or BBQ right after marinating, but it’s best to keep it in the fridge and let it marinate for at least 30 minutes, or overnight for a tougher cut of beef. Serve with ssamjang.",,,,,,,,,,,,,,,,,,,,
구이,삼겹살,Grilled dish,Samgyeopsal,Grilled Pork Belly,pork belly,3 pounds of pork belly (fresh or pre-sliced frozen),Slice pork belly into bite sized pieces. Put it on a large plate and keep it in the refrigerator.,Heat up your grill plate or pan. Put a little toasted sesame oil on the hot plate for flavor.,Cover the grill plate with pork belly. Grill them and turn them over when the bottoms get a little crispy. Keep cooking and turning them over until both sides are crispy.,"As the pieces get ready to eat, take them off the grill and put them on a small side plate. People can take the pieces from this plate, or if they’re too hungry they can take them right off the grill!","Eat, but keep cooking!",,,,,,,,,,,,,,,,,,
국,미역국,Soups,Miyeokguk,Seaweed Soup,"dried miyeok, beef brisket or skirt steak, garlic, minced, fish sauce, toasted sesame oil","½ ounce (16 grams) dried miyeok, soaked in cold water for 30 minutes, 1 pound beef brisket or skirt steak, cut into thin and small pieces, 4 garlic cloves, minced, 1 tablespoon plus 2 teaspoons fish sauce (or salt and soy sauce to your taste), 2 teaspoon toasted toasted sesame oil",Rinse and drain the miyeok. Squeeze out excess water. Cut a few times into bite-size pieces.,Transfer the miyeok to a large and heavy pot. Add 8 cups of water. Cover and bring it to a boil for about 10 to 12 minutes.,"Turn down the heat to medium. Add the beef, cover, and cook for 40 minutes.","Stir in garlic and fish sauce. Cook another 10 minutes, or until the beef is tender and the broth is savory.",Stir-in the sesame oil. Ladle into bowls and serve. The soup can be refrigerated in an airtight container for up to 4 days.,,,,,,,,,,,,,,,,,,
국,육개장,Soups,Yukgaejang,Spicy Beef Soup,"beef brisket, shiitake mushrooms, onion, mung bean sprouts, green onions, soaked gosari, garlic, hot pepper flakes, kosher salt, soy sauce, toasted sesame oil, olive oil, kosher salt","1 pound beef brisket, cut into several pieces along the grain 3 inch long, soaked in cold water for 10 to 20 minutes, washed, and drained, 4 dried shiitake mushrooms, 1 medium onion, cut in half","In a large pot, bring 3 quarts (12 cups) of water to a boil. Add the beef along with the dried shiitake mushrooms and the onion. Cook for 1 hour over medium high heat.","Combine the sauce ingredients in a bowl and mix it well. Cover with plastic wrap and set aside. Put the mung bean sprouts, green onions, gosari, and garlic in a large bowl.","1 hour later, check the beef. Take a sample chunk and split it with your fingers or fork. If it splits nicely, it’s done. If it’s a little tough to split, let it cook for 10 more minutes. As stock boils off, you want to maintain about 10 cups’ worth, so add some water.","When it’s done, remove the beef, onion, and mushrooms with a slotted strainer. When it’s done, remove the beef, onion, and mushrooms with a slotted strainer.",Mix the vegetables with the seasoning sauce by hand until well incorporated. Add to the boiling stock.,"Cover and cook 20 minutes over medium high heat until the vegetables are cooked through and tender, but not mushy. Slice the mushrooms and pull the beef apart into strips. Add to the boiling soup and cook another 10 minutes.",,,,,,,,,,,,,,,,,
기타,양념치킨,Etc.,Yangnyeom Chicken,Seasoned Fried Chicken,"chicken, kosher salt, ground black pepper, potato starch, flour, baking soda, eggs, toasted sesame seeds, vegetable oil, garlic, ketchup, rice syrup, gochujang(Korean hot pepper paste), white vinegar, corn oil","12 ounces (about 3 cups) mung bean sprouts (you can grow your own!), washed and strained, 3-4 large green onions (dae-pa) or 14-16 green onions, cut into 2½ inch long pieces, 6 ounces of soaked (or fresh) gosari (about 2 cups), cut into 2½ inch long pieces, 8 cloves of garlic, minced Sauce, ¼ cup hot pepper flakes,1 tablespoon kosher salt, 1 tablespoon soy sauce, 1 table spoon toasted sesame oil, 1 tablespoon olive oil (or any cooking oil)","Fry chicken : Heat 2 inches of oil in a large heavy frying pan or pot over medium hight heat for about 10 to 12 minutes until it reaches 330-350ºF. I used my 12 inch pan but if your pan is smaller, work by batches. If you don’t have a thermometer, test it by dipping one piece of chicken in the oil. If it bubbles, it is ready. While the oil is heating, combine chicken, salt, ground black pepper, starch, flour, baking soda, and eggs in a bowl. Mix altogether well by hand. Add the coated chicken to hot oil one by one. Fry them for 12 minutes until the all sides of the chicken are crunchy, turning over with tongs.Take out the chicken with tongs or a large slotted spoon to wire strainer over a bowl to remove the excess oil.","Make seasoning sauce : Heat the 2 teaspoons vegetable oil in a large skillet over medium high heat. Stir in garlic until light brown for about 30 seconds. Add the ketchup, rice syrup, gochujang, vinegar and stir well with a wooden spoon. Reduce the heat to low and stir until bubbling. Remove from the heat.","Start the second fry : Let the oil heat up for 2 minutes over medium high heat until it reaches 330-350ºF. Fry the chicken one more time, turning over with tongs for about another 12 minutes until very crunchy. Reheat the sauce over medium high heat until it’s bubbling again. Add all the hot crunchy chicken and mix well with a wooden spoon and tongs.",Sprinkle with the sesame seeds and transfer to a serving plate.,,,,,,,,,,,,,,,,,,,
기타,후라이드치킨,Etc.,Fried Chicken,Fried Chicken,"chicken, kosher salt, ground black pepper, flour, onion, cooking oil, potato starch, roasted soybean powder, baking soda, egg, water, Korean hot pepper flakes, toasted sesame seeds","*For chicken : A 3 to 3½ pound whole chicken, cut into halves lengthwise, ¾ teaspoon kosher salt, ½ teaspoon ground black pepper, ¼ cup all-purpose flour, 1 small onion, cut into chunks, cooking oil for frying *For batter : ¼ cup potato starch, 2 tablespoons all-purpose flour, 2 tablespoons roasted soybean powder, ¼ teaspoon baking soda, ¼ teaspoon kosher salt, 1 large egg, ½ cup icy cold water * For dipping : 1 teaspoons kosher salt, ¼ teaspoon Korean hot pepper flakes, a pinch of ground black pepper, 1 teaspoon toasted sesame seeds","Prepare the chicken, the batter, and the dip : With a sharp kitchen knife or scissors, snip the flesh between the thigh and the body and around the wing of each chicken half. Evenly season with ¾ teaspoon kosher salt and ½ teaspoon pepper. Refrigerate 1 to 2 hours or overnight. But if you are busy you can go next step right away. Evenly coat with ¼ cup flour. Combine the batter ingredients in a large bowl. Whisk or mix well with a spoon until there are no lumps. Add all the dipping ingredients in a small, shallow bowl. Set aside.","First fry : Heat 2 inches of cooking oil in a fry pan or pot until it reaches 350ºF (I used my 5  quart cast iron pot). Add the onion chunks and fry until brown. Remove the onion with tongs or skimmer. Whisk the batter again so it’s well-mixed and then and dip one chicken half so it’s evenly coated. Lift the chicken and let the batter drip off, then put it into the hot oil. Let cook for 2 minutes and then turn it over with tongs. Fry for another 10 minutes, turning over occasionally. Take it out and put it on a wire mesh strainer over a stainless steel bowl. Repeat with the other chicken half.","Second fry : Heat up the oil again to 350ºF (about 30 seconds to 1 minute) and add a chicken half. When the oil starts bubbling vigorously, grab the chicken with your tongs in one hand, and with your kitchen scissors in the other hand cut some slashes into the thick thigh and breast. This will help the chicken cook thoroughly, make it more crispy and crunchy, and make it look more appetizing. Fry the chicken 10 to 11 more minutes, turning over occasionally. Take it out and put it in a mesh strainer lined with paper towels, and fry the other chicken half.",,,,,,,,,,,,,,,,,,,,
김치,배추김치,Kimchi,Baechu Kimchi,Napa Cabbage Kimchi,"napa cabbage, kosher salt, water, sweet rice flour, turbinado sugar(brown or white sugar), radish, carrot, green onions, asian chives(buchu), water dropwort(minari), garlic, ginger, onion, fish sauce, fermented salted shrimp(saeujeot), gochu-garu(Korean hot pepper flakes)","6 pounds (about 2.7 kg) napa cabbage, ½ cup Kosher salt (2.5 ounces: 72 grams), 2 cups water, 2 tablespoons sweet rice flour (glutinous rice flour), 2 tablespoons turbinado sugar (or brown or white sugar), 2 cups radish matchsticks, 1 cup carrot matchsticks, 7 to 8 green onions, chopped, 1 cup chopped Asian chives (buchu), optional (substitute with 3 green onions, chopped), 1 cup water dropwort (minari), optional, ½ cup garlic cloves (24 garlic cloves), minced, 2 teaspoon ginger, minced, 1 medium onion, minced, ½ cup fish sauce, ¼ cup fermented salted shrimp (saeujeot) with the salty brine, chopped, 2 cups hot pepper flakes (gochugaru)","To split a cabbage in half without shredding the densely packed leaves inside. Cut a slit through the core of each half, 2 inches above the stem.",Sprinkle the salt between the leaves by lifting up every leaf and getting salt in there. Let the cabbages rest for 2 hours. Turn over every 30 minutes.,"After 2 hours, wash the cabbage halves a few times under cold running water. Cut off the cores, and put them in a strainer over a basin so they can drain well.","Combine the water and the sweet rice flour in a small pot. Mix well with a wooden spoon and let it cook over medium heat for about 10 minutes until it starts to bubble. Add the sugar and cook 1 more minute, stirring. Remove from the heat and let it cool off completely.","Pour cooled porridge into a large mixing bowl. Add garlic, ginger, onion, fish sauce, fermented salted shrimp, and hot pepper flakes. Mix well with the wooden spoon until the mixture turns into a thin paste.","Add the radish, carrot, and green onion, plus the Asian chives (or more green onions) and the water dropwort if you’re using them. Mix well.","Spread some kimchi paste on each cabbage leaf. When every leaf in a quarter is covered with paste, wrap it around itself into a small packet, and put into your jar, plastic container, or onggi.",,,,,,,,,,,,,,,,
