갈비구이,고등어구이,닭갈비,불고기,삼겹살,미역국,육개장,양념치킨,후라이드 치킨,배추김치,만두,라면,짜장면,짬뽕,잡채,김밥,비빔밥,떡볶이,제육볶음,보쌈,계란말이,파전,갈치조림,김치찌개,갈비찜,닭볶음탕,족발,삼계탕
I always marinade at least overnight when I do these! Also try adding coke to the marinade - the acidity helps tenderize the meat and the sugar content helps give that nice crust on the grill.,My family loved the sweet taste of the fish and I will definitely be making many more mackarels!,닭갈비 is amazing so I've visited here 3 times!,I would recommend Bulgogi or Bibimbob. Everyone likes meat and Bulgogi is really good with rice. And it is not spicy at all.,One of the nicest and authentic korean bbq ! Encountered it by chance and it was worth the try !,"One of the healthiest Korean dishes to eat is miyukguk, seaweed soup. Not only is this eaten to celebrate birthdays, it’s also given to new mothers to replenish their nutrients.","its probably my favorite soup in Korea. It is warm, spicy, rich, and hearty and its a satisfying and warming meal, especially in the winter.","The chicken was so tender and crispy, it didn't feel greasy at all. It was so delicious but the portion was massive and I couldn't finish it. I didn't think to take a picture as I was absolutely starving but the chicken looked like chicken... haha",Very good chicken and huge sharable portions. The paired menues of chicken and beer is a really concept.,"Writing as a non Korean, who loves kimchi but whose family hates it, I can say the kimchi tastes like heaven but that opinion is not shared in my family. The kimchi that I have eaten is always very spicy and very salty full of red chili powder and when fresh mostly tastes of the heat but as it ages becomes sour like a lacto-fermented cucumber pickle. Oh, and to anyone who does not like it, it smells really bad. My friend and i both love kimchi and both of our families ask that we eat it by the exhaust fan to not stink up the house.",We ordered the combo which comes with 2 mandoos. The mandoos were not too bad but nothing to write home about. ,The noodle was instant noodles but it has a tasty soup base,The jajangmyeon was just ok per wife and her local counsins. But this review is for me!! and it was super yummy!,My Korean exchange friends in college introduced me to Jjampeong and now I just absolutely love it!,Love this dish and so does the kiddos,The kimbap slices are large in size and tasty. Very good starter.,First time eating bibimbap and it tasted fresh and good,"The stew was very delicious with generous servings of tteokbokki, ham and sausage. ",Spicy Stir-fried pork has always been my favorite dish at Korean Restaurant.,The food had me foaming at the mouth with its smell before I had even had a bite. My first experience with Korean food will not be forgotten. The pork and garlic sauce leave a lingering taste in the mouth for more.,This is one of my favorite side dishes.,"Haemul pajeon, aka Korean seafood pancake, is one of the most popular Korean snacks or appetizers to share when gathered around the table with friends and family. If you keep some seafood in the freezer and Korean pancake mix in the pantry, it's so quick and easy to put together at home any time you crave or have people over","I and my wife visited this restaurant for dinner with cutlassfish food. We ordered Grilled cutlassfish food, that's very good with many and delicious side-dish. The various side-dish was very delicious and the main food, cutlassfish, was excellent, too. Though the estaurant was not big, but the food was satisfied to us. Good to enjoy cutlassfish food.",My favorite Korean soup,"my family loved this dish, wasn’t able to use gingko, jujube or chestnuts but we didn’t miss them. we love Korean food! what side dish would go well with this?",My mouth is drooling,"Jokbal wasn't that much as we expected. It tasted pretty good. By the way, the lower part wasn't warm enough.","Chicken has been boiled soft rotten, the entrance is melted, the bottom of the soup is very light"
As soon and the meat hit the grill and sizzled my mouth pumped out the drool.,I ate two whole fish after cooked them. So good!,It was amazing! I wanna eat this everyday! Cheese one was the best like a heaven! Not too spicy and not too salty! Recommend to all of you guys,"Bulgogi (불고기) is classic Korean! It can be prepared with pork, but beef bulgogi was what I enjoyed in Seoul. Thinly shaved meat marinated tender with grated pear juice, in a sweet and savory sauce, or spicy and grilled on a stove-top griddle. Beyond BBQ!","Pork was tasted so good to chew into, with the right amount of saltiness. We were very tempted to buy another set after finishing the first.",when I gave birth to my children this wonderful soup made me and my breastfed kids very healthy. And it's no myth - this stuff brings on lactation very quickly!!!,"Yukgaejang is a spicy beef and vegetable soup, and its probably my favorite soup in Korea. It is warm, spicy, rich, and hearty with chunks of beef, scallion, bits of egg, and vegetables. It is often served with rice, and its a satisfying and warming meal, especially in the winter.",The food here is good and the wings are nice and spicy. Didn’t think it was worth the money as I’ve had way better wings for a lot cheaper in other places. Nonetheless I would return here because the food was good and it can satisfy a craving,"First time being here, good location and not hard to find. Fried chicken is good. Would be better if they can provide smaller sets. I went there with my wife and son who can't eat spicy. As a result we could only order a set of honey fried chicken drums although we would also like to try other flavors.","If I can have crunchy Chinese pickled vegetables from the can/jar with gooey plain rice porridge, kimchi is all luxury with a bowl of steaming hot white rice.",These potstickers were a hit across the board! Everyone in my family loved them. ,"Had very nice beef ramen. I would have rated the place 5, had they only carried small beers and not exclusively huge bottles. :)",We wanted to try the jajangmyeon and no doubt it is very good.,This dish is heart warming and mouth watering :P,"Many Koreans also make a vegetarian version by adding mushrooms in place of the beef. Since so many people are vegetarian, now they can enjoy this delicious entree as well.",Love their big size kimbap. It is delicious and cheap! ,Bibimbap is one of my favorite dishes to order at Korean restaurants!,"Wonderful spicy tteokbokki with oozing cheese with your choice of add-ons such as ramen, mondoo, and others to choose from.","Made this last night, and my neighbor said he loved it after tasting.","I've just spent 3 weeks in Korea, and tried many versions of pork bossam (pork which you hand-wrap in green leaves with punchy sauces and kimchi) - including the Michelin-starred Jungsik in Gangnam -- but this was the best version I tried.",I never knew an omelette could be so beautiful. ,I remember makgeolli and pajeon is best,Good ingredients and skillful and great taste of Mockpo! This one will be my no.1 favorite in town! Nothing will go wrong.,so yum. my sisters and I loved it. we switched out the pork belly for some chicken breast and it was still delicious.,I actually love the sauce that I doubled it and added more soy sauce to taste. And the longer you keep it on the stove the more tender the meat. This is so darn delicious!,Classic Korean chicken dish adapted for the pressure cooker,Really yummy braised pork trotter that is cooked to perfection. The layer of fat beneath the skin is so nicely cooked that it melts in your mouth. Skin is chewy like gelatin. ,Chicken soup is one of the specialities of Korea and tastes good
I would literally work for food if you were cooking it. It all looked amazing!,I hope you are feeling better! Take care of your health!,I highly recommend it to all the trevelers! Order mid-spicy one with the cheese and it will be the best choice to spend dinner!Also fits amazingly with the Korean rice wine and fried rice! Will come again! Thank you!,This has become a favorite go-to recipe at our house. Flavorful and delicious!,It’s the best pork belly I ever had in Seoul. Pork belly was very juicy and tender. It’s recommended when you want to eat barbeque.,Very different! I like it! My family did not like the soup refused to eat it.,"Don't worry, yukgaejang is not as spicy as its scary red color might suggest. In fact, it's considered a comfort food and is a staple dish in every Korean home.",Enjoyed ourselves pretty good with the deep fried whole chicken done in 2 styles! Pick a taste that you like n can tolerate if you are into spicy ones! Very surprised with the “dry” comments from the last contributor!!! Worth a visit if you are in the area.,Went there around 8pm and was full of people. Huge place with both local and tourist crowd. Staff were friendly and courteous. Good and fresh fried chicken.,cheese smell decayed food but we can eat it. Yogurt smell veneager smell from one's armpit but it is delicious. That's also same.,The mandus (dumpling) are very tasty. They have both steamed & fried. (The Kimchi Steamed Dumpling is so delicious!!!) ,It is delicious and really good for its price.,Tried the jajangmyeong and pork dumplings.. tasted home made and very authentic.,"When I ate this at my job in Atlanta, I fell in love with the thick noodles they used in it.",Soooooo... delicious and easy to make.,The kimbap are small and mostly filled with rice and very little filling. ,"Bibimbap (pronounced bee-bim-BOP) is fun to say! I just had to add that! I think most of this dish is healthy, but there are some items that are contained within the dish that are sometimes considered unhealthy.",Here we had our best Tteokbokki of our trip. Loved the cheesiness and spicy at this place. Can highly recommend it.,Really delicious!!!!! OMG best Korean food ever!!,"The bossam was soft, yet firm enough to hold it's shape. I absolutely would recommend.",Used shallots as regular onion here is very strong and not really sweet. Was amazing. Loved it! Onion is a great addition to keep it moist and crunchy!,Omg I love Pajeon! Good tip on using cold,"If you swallow some bones, don't panic... just swallow a spoonful of rice!",Delicious!! I made it with homemade kimchi from your recipe. My stomach feels so happy (and so full…),"This Korean Braise Short Ribs became the NO.1 of my delightful homemade dish in this year so far, don’t know how to describe the deliciousness "," Korean Bapsang readers love this spicy chicken recipe adapted for the Instant Pot. Dakbokkeumtang is a classic Korean chicken dish that's spicy, savory, and slightly sweet! It's quick and easy with a pressure","The pig’s trotters were very, very tasty.",Perfect for the cold winter. The chicken and the soup really tasted good - your taste buds can easily distinguish that the ingredients are fresh.
I love Korean meat BBQ！short ribs are my favorite!!,"Caught a mackerel on a fishing trip, first time cooking a whole fish and it was delicious. Grilled it, medium/high. 15 minutes first side and 10 minutes the second. The sauce gives it a fresh summer taste!","We got a portion for 2 people of dackgalbi with thick noodles, and we couldn't finish it because was really a lot! Super good, it was a pity to leave it there. Next time I'd order a single pertion to split for 2 people.",Fantastic! Wanted to surprise my husband by making something completely different and this was a hit.,"The portion of samgyeopsal was a bit less than I expected. But, it was really delicious anyway.","A friend brought this to a Korean themed dinner party and it by far stood out among the other ""chef prepared"" dishes.","Mmmm, my favorite Korean dish if it's made spicy enough.",I been to many different fried chicken restaurant in Seoul and this place was such a disappointment... the chicken I order was so dry and tasted so bad... even kfc is many times better than this one.. I do not recommend anyone to eat here...,"One of the best fried chicken I had in Korea! My family and I went to this place as a recommendation from a friend and we are happy to say that this placed lived up to our expectations. Ordered a mix of original and spicy wings. The original was really good and we basically finished it within minutes. For the spicy wings, they were good as well, but too spicy for our liking. We visited Kyochon for supper and it really is a great place to go for a late night snack! Will definitely patronise this place again when I visit Korea!","Eat kimchi as a small side dish with pretty much any meal. I like it on hummus wraps, sandwiches, etc. Kimchi and sauerkraut are both fermented cabbage, and they are great for digestion. If you haven't had it before, you may need to have it just a bite at a time until you get used to the strong flavor. When you're used to it, you'll love it.",Try their Galbi Mandoo because it taste like heaven,I really love ramen this so delicious,"The family oriented restaurant serves Korean noodles with black bean sauce, very authentic flavors.",I have made this soup many times and it’s our favourite. I modify it when I can’t get certain items and add extra cabbage.,I even went ahead to just make a stir fry without the noodles and got my mom hooked haha,"In kimbap, the rice is seasoned with sesame oil and a pinch of salt, giving it a smooth, nutty flavor.",This is a common and quintessentially Korean dish and especially popular among vegetarians.,"The tteokbokki was delicious. The combination of flavors gave the stew solid depth. What was most impressive was how despite the combination of everything in the stew, each ingredient maintained it’s individual flavor, making each bite interesting a flavorful. Usually with stews, everything takes on the same flavor and after a while get tiring, but this stew was perfection!",I love this dish..love pork belly! But I try not to eat it too much because it’s so fattening.,The meat is good on its own (although i expected more flavour but hey it's my pref) and both the flavours are really good too! ,Its easy to prepare. I love trying this for my breakfast. ,"A glass of makgeolli(korean rice wine) when it's raining!!! Fantastic combination of seafood green-onion pancake + makgeolli, and sprite.","Found this place after carefully checking out all the main restaurants on Arang Joeul food street - fantastic Jeju traditional treat! I was the only non-native in the place but everyone was very friendly and seemed to approve my choice of the main specialty, spicy braised hairtail fish and the local soju. Was hungry and ate all of the six dishes of banchan (which were immediately refilled) just before the main dish with a soup and dish of rice arrived. This was a new fish for me no I enjoyed the delicate white meat which slipped right off the bones. Lightly spiced and topped with sliced potatoes and other veggies. Absolutely delicious food and great service.",I want to make a vegetarian version of this dish. CanI just cut the meat from the recipe or is there anything I can/should replace it with?,"Want Korean comfort food in a pot? Galbi jjim has short ribs, potatoes, carrots, squash and rice cake. It’s one of my favorite Korean dishes","with Dakkochi this is our favourite recipe, we do this when autumn comes and it gets chilly and rainy here in Bavaria as it does just now.",The Jokbal (pig’s trotters) are awesome too but has a bit of rind and gelatinous bits.,the soup is not overly salty and the flavors are more balanced for an overall satisfyingly wholesome taste.
"Kalbi, bulgogi, on rice.. Can't beat that.. =)",I added garlic to the sauce as did others but it would have been OK without; it's like the salmorglio sauce for swordfish.,Yummy dakgalbi with spicy sauce and ramyeon is the best. The mozarella cheese make this dakgalbi very tasty and delizious.,It was good i really enjoyed it,The samgyeopsal was delicious and we finished everything. It was grilled in front of us at the table which added to the experience. ,"I made the Korean Seaweed Soup with tempeh as I do not eat meat, I have also made it with baked salmon (oven baked the salmon with sesame oil and a little soy)and add it to the soup……both occasions really very delicious!",Made this for my girlfriend and our friend randomly the other day. We feel much better now the we are eating many of these Korean soups.,We tried diff fried chicken restaurant during our visit and found that this is the tastiest fried chicken to us. The restaurant opens till late so its great for tourist who is looking for late nite snack/supper. The take out box comes with a can of coke and side dish and sauce. Their menu is quite extensive so you have lots to choose from. Another restaurant we will revisit for a midnite snack,"Delicious fried chicken and they have delivery service. When the food sent to our hotel, the chicken was still crsipy. After a long day out there, we get to enjoy the delicious meal in hotel. Awesome.","Kimchi is definitely one of the healthier foods we eat but I also think there is something addictive about the flavor. Kimchi is a very adult tasting dish - a mixture of tangy-salty pickled veggies and garlic with pungent fermentation. Add the right amount of chili peppers and now it is spicy-tangy-salty. There are styles of kimchi (e.g., traditional Seoul and northern Korean style) that use less fish sauce and they have a crisp carbonated taste.",Dumplings: Kim chi with pork and vegetable one of the best I have tasted in a long while.,I couldn’t believe how good this was. And especially surprising was how much better I felt after eating it.,Like the jjajangmyeon even better with rice!,The Korean spicy seafood noodle soup was just yummy.,"Wow, I love this dish, I'm such a huge fan of non-flour noodles (I think they have more bite to them) and the vegetables really liven up the plate!","I tried the Kimbap, fresh, good rice, and tasty ingridients. Nice","bibimbap by nature is quite healthy with rice and colorful vegetables plus meat, fish, egg, or tofu—providing a low-calorie dish that is high in fiber, carbohydrates, and protein.","Wow! that's the first reaction when i tasted the tteokbokki here. It's so chewy, soft and small. We can choose our ingredients here. We added ramen, cheese, seafood and luncheon meat and it's enough for the two of us. I will definitely come back and try other ingredients. delicious! ",We always order Jeyuk-bokkeum which is slices of pork in sweet and spicy sauce. Everything was tender!,The pork belly was so tender and the fat just melted in my mouth. ,Very nice. I'll make this for our next breakfast.,I cooked this n it’s soooo yummy especially with the sauce! I love it soooo much!! I cooked this whenever I want a snack!,"First time eating hair tail fish and I loved it a lot! The meat was sweet and fine like pomfret, a pity it had lots of fine bones which made eating a hassle.","This was SO good!! I didn’t have any meat so I made it happily, accidentally vegetarian and added an egg at the end. Definitely going to make this again. I also used soft tofu because that’s what I had and it was great!","The texture of the ribs was melt in your mouth perfect. The Koreans are not afraid of mouth-numbing pepper, and I will add a small bit of that next time. Five stars awaits a spice tweak.","Dakbokkeumtang is a classic Korean chicken dish that's spicy, savory, and slightly sweet",The trotter comes in original flavours or spicy. The spicy one was more flavourful but it was pretty spicy after eating a few pieces.,"samgyetang is a popular summer food, I think it’s a perfect soup even in winter simply because it’s warm and gives you nice soothing comfort."
I love Galbi! I remember sitting in a place in Pusan where one of the waitstaff insisted on cooking mine for me. I let her since she was being so insistent. Little did she realize I'm perfectly fine with cooking my own food.,"Absolutely delicious! The flesh of the mackerel becomes completely velvety and rich, with that strong ocean taste. I stuff slices of garlic in the fish slits, and you can also put the olives in the fish cavity if you'd like, because adding the oily sauce after the fish is done adds too much fat for my taste. I LOVE putting this mackerel on a portuguese roll for a delicious fish sandwich. It doesn't need any other seasoning!","The chicken and vegetables are well seasoned and with the cheese! So so good! We sat at the al fresco dining area as the indoor dining area was full, but we had bells to ring for service. It’s on the second storey and look for this sign on the side of the building or you will walk past it. It’s more of a side road that leads off the Main Street.",This tastes amazing! My husband was in Korea for a year with the military and loves bulgolgi. He introduced me to it at a Korean restaurant in Colorado and we have come to really enjoy it. Making it homemade is second best especially with Covid and not going to restaurants,Great BBQ dining experience in Korea style. Like the BBQ pork slice in both spicy n sweet source. ,"I’m vegan, but I’ve always wanted to try seaweed soup! I let the soup boil longer than suggested (mostly because i was steaming my rice) and the seaweed broke apart, but it made the whole soup full of seaweed in every bite, I enjoyed it very much.",This is my most favorite Korean soup! Makes me miss my mom.,"waited 30mins for just 2 dishes only to find out kitchen mixed up our orders. Waitress had to ask for the bill be settled even before it we finish. Compensation no matter how little was not offered but asked for. And upon asking staff was also weirded out about it. Food is also not good. To top it off, they closed an hour early just because their boss left early. Worst experience in Seoul for us.","Our first try of Korean fried chicken, great taste menu is in English which makes it a great. Overall loved it tried soju for the first time (not for us)","I like to eat eggs with kimchi and rice. In Korea it’s also popular to fry spam slices in egg batter and pan fry. The other side dish that pairs well with kimchi is cooked bean sprouts, spinach, mountain greens and acorn jelly.",We ordered mix dumplings but the best were the meat and rib dumplings. Spicy dumplings and kimchi dumplings were overly spicy and our mouths were burning.,Definitely the best ramen I've had,I love Jjajangmyeon it taste delicious and it not difficult to cook.,"I Love seafood, it’s probably my favourite thing to eat.",I love Japchae! It’s usually my order of choice in Korean restaurants.,I like eating kimbap very much.,"It’s rice with vegetables, meat, egg. It’s delicious!",The stew was delicious and we love the rice cake! The rice cake was springy with the right chewiness.,We enjoyed the Jeyuk-Bokkeum. Dish was piping hot and extremely well-prepared. It could have told me I was in Korea and I would have believed it. I am so impressed by this little gem. I highly recommend it!,The food is delicious! It's a must try when you go to Korea and experience different types of Korean cuisine. ,"My family cracks the eggs adds a tad of milk, some soy sauce chopped scallions and scrambles the egg with sesame oil, we eat fried spam, brown rice and kimchi on the side",it less but Koreans have unique expression for their love of food and can’t blame them with how good it actually tastes!!!!,"Galchi Jorim is a little bit spicy but not that spicy. It has a deep flavor, thanks to the combination of seasonings, hairtail fish and radish. When we get in this hairtail alley, it smells fishy for sure, but this galchi jorim itself doesn't feel dubious thanks to radish and seasonings. Especially radish plays a significant role to get rid of fish smell. Furthermore, when it's cooked well, it is very soft and flavorful. Because radish soaks the seasonings thoroughly. Some Koreans love this radish part more than the rest of this braised stew. I've met several foreigners who were into soaked radish.",Really delicious and easy to make. Instructions are straight forward. Thank you for sharing this,"The best Korean dish I have EVER had has to be galbijjim. It is tender, sweet, and not too salty (depends on how it is prepared). Unlike regular galbi (short beef rib), this one melts in your mouth and doesn’t require as much chewing. It is prepared in my household every once in a while but it is definitely something I look forward to!","I know some kind of ""heatwave"" is coming in the next few weeks but I'm honestly ready for autumn. With autumn comes stews and all the delicious comfort foods. My personal comfort food is Korean of course, especially hearty spicy stuff like this with chunks of potato in it to really warm your belly!","The meat has a moderate salty taste, a little bit sweet, and strong unique spice taste just like five spice. The skin looks quite fat but it is surprisingly not greasy, and really melts in your mouth.","They did not disappoint. Both chicken soups were absolutely amazing! The meat was tender, and the broth was thick and flavourful!"
"Oh my goodness! Galbi is my favorite Korean meal, but it is always so much work, so I dont make it very often.",This was a lovely way to serve a whole Spanish mackerel we had.,"Delicious spicy chicken with yummy cheese to make any heavy food craving stomach happy. Mix it up and make a fried rice after, yum yum yum.",Omg this was fantastic !!!,"Delicious and cheap BBQ. We were not disappointed! Yummy pork BBQ, we kept ordering more!",It’s also nice to use chicken breast when you don’t like the greasy feelin’ of beef,"I love 육개장! :D It's probably my favorite Korean dish. haha Whenever I go out to a Korean restaurant with my family, they always know that's my default dish.",I bought a sweet fried chicken to try. It tasted fantastic!! My teenage boys loved it as well. ,Nice big restaurant which serves a variety of fried chicken. We had the original recipe recipe fried chicken and it was really good. I love my fried chicken and this place is up there. The craft beer is just as good.,"For Koreans, Kimchi is like air to breathe. Sometimes we forget if it is there. When someone asks me if I breathe everyday, I have to think about it. I don't usually count how many times I breathe a day.",Galbi mandoo(dumpling) is so nice! unique taste! i recommend 'galbi mandoo'.,One of my favorite ramen noodles. Pleasantly spicy and the noodles are a good texture.,Which of noodles do you recommend? Jjajangmyeon is the best! ,"it was so delicious , rich thick sauce with seafood , veggies and noodles .. yum !",Absolutely love any type of noodle dish and this one didn't disappoint. Definitely hit the spot!,"I like their kimbap unlike the usual ones, the rice used is the black sticky rice. It's very yummmy and fresh. For 5,000KRW, i had tasty meal already. I really don't mind having this for lunch and dinner. It's very convenient to consume as it is wrapped in foil when sold.",Bibimbap is one of my all time favorite meals.,Their Tteokbokki isn’t so spicy and I recommend this to foreigners that can’t take too much spice.,"The best of all is the Jeyuk-Bokkeum, if you have an extra space for your belly after the tasting menu. ","The sliced pork belly comes with different flavours and since I am a fan of garlic, I ordered the dish with garlic flavour. Free flow of side dishes, rice and soup are available at the self-service bar. The meat was really delicious, steamed to perfection and literally melts in your mouth. The garlic flavour was tasty with nice fragrant smell.",one of my favorite things in the world to eat! I remember when I lived in Korea going to Wara Wara and eating the one filled with cheese!,"When it rains, the old Koreans say ""It's raining..let's eat makgeolli with pajeon",We went there coz its 3mins away from our hotel and recommended in trip advisor. Difficult to find halal food in this area so this restaurant is selling only fish and vege. The food is fresh & tasty. We had the fish coz its recommended by in trip advisor and its true.. its fresh and delicious...,"It’s perfectly spicy, with great textures and is warm and comforting. Absolutely delicious","Galbi-jjim is a Korean stew made out of beef short ribs….it is soft, sweet with a hint of a bit of heat (though not all). It can be made of pork ribs (known as dweji galbijjim). Best paired with white rice together with sauce.","I have never had a dish like this before - it is hearty, comforting, and has an incredible depth of flavors. There are no words that can FULLY describe this dish - as it is so complex in flavors and emotions.",The jokbal was good. Melted in my mouth.,"Being that it was mid-November, a hearty and healthy soup seemed like the way to go. Samgyetang is extremely good for your health."
This is one of my favorite dishes from Korea. Just to clarify from the earlier review Ssamchang is a spicy bean paste and Gojujang is also a paste made from finely crushed red peppers. Served with steamed white rice this is a great meal.,This is the perfect recipe for cooking the Sierra Mackerel we often catch. It is easy and can be made with ingredients we keep on hand. Using pitted kalamatas is best and I have even used limes when lemons weren't available. The result is really delicious,"Korean friend introduced me to the Chicken experience. Hot, spicy and very, very tasty. Its good food well cooked, will visit again when in Korea.",Absolutely delicious! I couldn’t get gochujang so used some schiracha instead & used a green apple instead of a pear.,"It was a huge awesome meal. We were 2 diners, this set of meal was really value for money. ",Now this is a healthy way to celebrate a birthday instead of a sugar laden cake.,This was the first Korean dish I had and it was my favorite for a very long time!!,"The food is alway great, staff very friendly. If you like spicy food you have to try the Soy Chicken",This is the best fried chicken I have ever had. We had the basket with two flavours along with some potato wedges. It was the best fast fried chicken I have ever had. The service is very quick and the atmosphere is good. I would highly recommend to all fried chicken lovers!,"I like to make my own kimchi. A good dish usually has a balance of salt, bitterness, sweet, sour and umami.","The food is good though great dumplings, I prefer the galbi dumplings though! Try it if you are not to hungry and just want smth to snack on!",LOVE this soup. The perfect amount of spice.,I love jjajangmyeon so much I want to swim in a sea of it. Jjajangmyeon is truely the comfort food of Korea.,"JJampong is my most favourite Korean dish. I have tried it all over Toronto, searching for the perfect broth.",I love Korean glass noodles! This noodle stir fry looks amazing and I can't wait to make it for dinner soon!,The kimbap (one of their signature) was a bulgogi one (my wife had a tuna in NYC). I wished to have more to enjoy.,"Bibimbap falls into the healthy category with its emphasis on vegetables mixed with rice, some meat, an egg and gochujang.",The tteokbokki is soft and chewy.. it taste good too. we miss that so much. definitely need to try.,It was delicious! Perfect balance of flavors.,Best steamed? braised? pork with original bossam kimchi.,"I just made it and it tastes good the touch of the chili made it better but I prefer it without and ham,meat,hotdog or sausages",Still not as browned as I’d like but it was definitely tasty!,"We tried avalone soup and grilled hairtail fish plus plenty of side dishes. All great flavours. Only issue, for the price paid (30000 wons) they should provide bigger portions...","Absolutely delicious! I never really thoroughly enjoyed kimchi jjigae in the past, and this has won me over. I used sesame oil which I think made a difference to, and used radish kimchi which softened wonderfully"," in the fall or winter, one of my favorite dishes is galbi jjim, beef short rib stew. Making it is an involved process, so it’s usually for special occasions.","Spicy braised chicken Dakbokkeumtang is perfect for a rainy day like today. Looks really spicy but it's actually not. Just the right amount of heat plus that rich tasty soup is perfect to eat with rice and of course, banchans",The pork was really soft with a sweet but spicy taste.,the glutinous rice within which had absorbed flavours of both the chicken and the broth.
Sooooooooo gooooood! even my non-adventurous-ethnic-eating hubs licked his fingers!,"Very good, the sauce was great -",Food there was amazing! If you want to experience korean traditional + fusion style dakgalbe I highly recommend this place!,This is absolutely fabulous. I have made this many times and it is now a family favorite. The flavor is spot on. Easy to make.,The meat ate extremely fresh and full. Strongly recommended.,"I didn’t think I would like this soup very well because I hate strange textures, but turns out I liked it a lot. The seaweed was pretty mild for me, but I hear some people don’t take it as well. Either way, I loved it.",I cannot even imagine how amazing that would taste,"The resturant is crowdy, many buzzed companies. Food quality is good, teriyaki chicken is yammy",They never disappoint me! Chickens are keeping their standard every time and I like them so much. It’s good to get more people for the meal so that you can try different flavour as well!,You can eat it hot. You can eat it cold. You can eat it from a pot many days old. Some like it hot. Some like it cold. Some like it eaten from a pot many days old.,Delicious steamed dumplings at very reasonable prices. Personal favourite are kimchi dumplings.,The best instant Ramen ever!,"I LOVE jiajangmyun!! growing up it was my favorite food, and even now as an adult, i love it!! ",I used to eat this soup in a Korean restaurant in Sydney. It was red hot and spicy with udon-like noodles,"This japchae was an easy and nutritious meal! I never made Korean glass noodles, but it came out so tasty!",The kimbap was definitely a favorite and better than the duck fried rice.,"A balanced diet is the healthiest for humans. However, if I were about to choose one meal to eat for the rest of my life and remain healthy, I would choose the Korean dish Bibimbap.",The tteokbokki was spicy but it was just average so no complaints there.,It tastes even better when it's char-grilled over BBQ!,The taste is amazing and we love to eat with homemade kimchi which is from your recipe too. My bf loves it so much.,Ordered the rolled egg omelette (gyeranmari) which was just okay. I'd probably skip ordering this next time.,It's been a while since I had spicy food.,The taste was good and I didn't get fishy smell from the soup. But the soup was little salty. I had to wait about 20 minutes to eat it. there was long queues.  Food very good and tasty. Price reasonable.,"I loved this! I’ve been wanting to try Korean cooking for awhile, but was worried about the ingredients being difficult to find. This dish was so easy, incredibly flavorful, and very satisfying! flakes",Weather is getting cooler and it’s perfect time to have some sizzling hot Galbi Jjim!,Dak Bokkeum-tang is in my top 5 of Korean food.,"We chose the pork jokbal and some extra little things, the portion was really big and delicious, and prices relatively cheap.", I would suggest those who prefer something less salty to add a cup of water whilst heating.
My boyfriend and I love Korean BBQ and doing it at home sure helps us save money!,"Worked like a charm, tasted great.",Eat here for yummy Dakgalbi with cheese and rice. The price is good and it's so delicious. Quite spicy though so be careful. Highly recommended to all.,"Simple, Easy, DELICIOUS! I used red leaf lettuce. My kids added some rice to theirs Everyone raved.",The meat was very well marinated and was not too fat but still juicy. Definitely a must try if you are a big fan of Korean BBQ!,I have just tried it^^ It is delicious~~,This is my all-time favorite korean stew !! I can't wait to make it this week <333,"This is one of my favorite places to eat fried chicken. Juicy, sweet and spicy chicken","The fried chicken is yummy, it's fried but unlike those fried one I tried in all other places. It feels less ""heatiness"" and less unhealthy. You will not get sore-throat after eating this fried chicken. And yes, it's only for fried chicken, no other main course.","Kimchi is not hot, especially not compared to cuisines like Thai or Mexican where real spiciness exists.",Best dumplings in korea. A must try! Try the kimchi dumplings!,Umm. Doesn't need to say a thing. Yum!,I made your Jja jang myun recipe today for my dinner. It was my first time making jja jang but it was SOOO~~~ good!!,"20 years ago, when my kids were little, we tried a delicious Korean soup called”Sam sung Jam Bong”. It was a magic cure for colds — better than chicken soup!","This japchae was such a fresh, delicious and quick dinner! And loved the colorful vegetables and the way of cooking the eggs - going to do this for all my stir fries! It was super flavorful and even better than what we get at the Korean restaurant!","The kimbap was quite unique as my colleagues order the ""Mixed Gimbap"", which meant the long thick sushi was filled with all sorts of different things, and depending on which part of the Gimbap you got, you got your own unique mix of ingredients.",One of my favorite Korean foods is bibimbap.  The great thing about bibimbap is that there's not just one way to do it.,"We ordered Beef tripe tteok-bokki on the spot, and Squid tteok-bokki on the spot, that's good to us. The food was unique and delicious, and the texture of ttoek-bokki was good to me. Overall, there was good to us.","The best thing to do with the stir is to get some char and smokiness to the protein , add that flavour!","So good, made this for my boyfriend and I and it was juicy, flavorful, and so fragrant! ",I loved it. Kid thought it was just okay. So now I can eat the whole thing myself!,The green onion pancake that I ordered to help weaken the spiciness was also spicy.,I've never had a fish stew B4!! But I will say their is a first time for everything!! Looks good and Spicy!!,Every one loves jjigae! Once you acquire Korean taste you will move forward with complex flavours like the very spicy pork dishes!,"I’ve been wanting to try a galbijjim instant pot recipe for a while now…. Should have been doing this much sooner…. Crazy flavor, tender, and quick-ish… prep time took the most as with all instant pot things",It's so spicy that I sweat on the top of my head. Spicy is the best.,We ordered the half original and half spicy jokbal and was really tasty. Meat was soft and tasty. Will definately go back again on my next trip!," the piping hot soup makes you sweat, and sweating is the way that your body cools itself in heat."
